VE337661.04
FX, FY 
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
25, -2
